playerID,yearID,stint,teamID,lgID,bats,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,PA,avg,allStar,allStarStart,weight,height,Rating
aaronha01,1955,1,ML1,NL,R,153,602,105,189,37,9,27,106,3,1,49,61,5,3,7,4,20,21,4.019,0.314,1,0,180,72,0.306668187
ashburi01,1955,1,PHI,NL,L,140,533,91,180,32,9,3,42,12,10,105,36,5,3,2,1,3,28,3.938,0.338,-1,-1,170,70,0.34243414
avilabo01,1955,1,CLE,AL,R,141,537,83,146,22,4,13,61,1,4,82,47,1,2,18,4,17,31,3.821,0.272,1,0,175,70,0.255272049
bakerge02,1955,1,CHN,NL,R,154,609,82,163,29,7,11,52,9,7,49,57,1,2,18,3,14,30,4.062,0.268,1,0,170,73,0.2173365
bankser01,1955,1,CHN,NL,R,154,596,98,176,29,9,44,117,9,3,45,72,6,2,0,3,16,24,3.957,0.295,1,6,180,73,0.276980493
bauerha01,1955,1,NYA,AL,R,139,492,97,137,20,5,20,53,8,4,56,65,1,8,4,3,4,33,3.383,0.278,-1,-1,192,72,0.203619232
bellgu01,1955,1,CIN,NL,L,154,610,88,188,30,6,27,104,4,4,54,57,2,0,2,6,6,27,4.099,0.308,-1,-1,190,73,0.296198485
berrayo01,1955,1,NYA,AL,L,147,541,84,147,20,3,27,108,1,0,60,20,6,7,2,5,13,30,3.71,0.272,1,2,185,67,0.791961195
boonera01,1955,1,DET,AL,R,135,500,61,142,22,7,20,116,1,1,50,49,2,1,2,7,16,32,3.395,0.284,-1,-1,172,72,0.302005294
boyerke01,1955,1,SLN,NL,R,147,530,78,140,27,2,18,62,22,17,37,67,5,1,1,5,6,24,3.5,0.264,-1,-1,190,73,0.203358108
brutobi01,1955,1,ML1,NL,L,149,636,106,175,30,12,9,47,25,11,43,72,6,4,2,0,2,30,4.191,0.275,-1,-1,169,72,0.207331829
careyan01,1955,1,NYA,AL,R,135,510,73,131,19,11,7,47,3,3,44,51,6,1,8,7,11,24,3.42,0.257,-1,-1,190,73,0.20459198
carrach01,1955,1,CHA,AL,R,145,523,83,134,11,2,11,52,1,1,61,59,0,4,4,6,10,29,3.605,0.256,1,0,170,72,0.176849591
dobyla01,1955,1,CLE,AL,L,131,491,91,143,17,5,26,75,2,0,61,100,8,2,2,4,6,32,3.407,0.291,0,0,180,73,0.140825149
ennisde01,1955,1,PHI,NL,R,146,564,82,167,24,7,29,120,4,2,46,46,8,2,2,9,14,30,3.765,0.296,1,7,195,72,0.37691948
finigji01,1955,1,KC1,AL,R,150,545,72,139,30,7,9,68,1,3,61,49,6,3,5,1,18,27,3.741,0.255,1,5,175,71,0.248816465
fondyde01,1955,1,CHN,NL,L,150,574,69,152,23,8,17,65,8,9,35,87,6,2,3,4,9,31,3.759,0.265,-1,-1,195,75,0.142390634
foxne01,1955,1,CHA,AL,L,154,636,100,198,28,7,6,59,7,9,38,15,1,17,14,4,8,28,4.16,0.311,1,4,160,70,0.899855675
furilca01,1955,1,BRO,NL,R,140,523,83,164,24,3,26,95,4,5,43,43,5,7,1,4,15,33,3.494,0.314,-1,-1,190,72,0.356304316
gilliji01,1955,1,BRO,NL,B,147,538,110,134,20,8,7,40,15,15,70,37,4,6,11,2,8,27,3.753,0.249,-1,-1,175,70,0.352379313
goodmbi01,1955,1,BOS,AL,L,149,599,100,176,31,2,0,52,5,5,99,44,1,3,10,4,13,29,4.309,0.294,-1,-1,165,71,0.281588031
groatdi01,1955,1,PIT,NL,R,151,521,45,139,28,2,4,51,0,2,38,26,11,1,11,1,20,25,3.451,0.267,-1,-1,180,71,0.326214181
hodgegi01,1955,1,BRO,NL,R,150,546,75,158,24,5,27,102,2,1,80,91,3,3,3,10,16,31,3.864,0.289,1,0,200,73,0.168345691
jacksra01,1955,1,CHN,NL,R,138,499,73,132,13,7,21,70,0,2,58,58,6,1,3,4,11,29,3.438,0.265,1,0,180,73,0.206850526
jenseja01,1955,1,BOS,AL,R,152,574,95,158,27,6,26,116,16,7,89,63,8,3,3,12,20,28,4.093,0.275,1,0,190,71,0.295858905
joneswi01,1955,1,PHI,NL,R,146,516,65,133,20,3,16,81,6,2,77,51,5,3,6,9,13,30,3.66,0.258,-1,-1,188,73,0.244169383
kalinal01,1955,1,DET,AL,R,152,588,121,200,24,8,27,102,6,8,82,57,12,5,0,6,13,21,4.136,0.34,1,9,175,73,0.329360726
klausbi01,1955,1,BOS,AL,L,135,541,83,153,26,2,7,60,6,0,60,44,0,0,4,5,4,27,3.71,0.283,-1,-1,160,69,0.272693238
kluszte01,1955,1,CIN,NL,L,153,612,116,192,25,0,47,113,1,1,66,40,25,4,0,4,10,31,4.185,0.314,1,3,225,74,0.492084902
kuennha01,1955,1,DET,AL,R,145,620,101,190,38,5,8,62,8,3,40,27,3,1,0,5,7,25,4.074,0.306,1,6,187,74,0.536079491
lockmwh01,1955,1,NY1,NL,L,147,576,76,157,19,0,15,49,3,3,39,34,2,3,6,3,7,29,3.796,0.273,-1,-1,175,73,0.310748557
loganjo01,1955,1,ML1,NL,R,154,595,95,177,37,5,13,83,3,3,58,58,1,4,16,7,12,29,4.031,0.297,1,0,175,71,0.265260135
lopezhe01,1955,1,KC1,AL,R,128,483,50,140,15,2,15,68,1,4,33,58,1,3,4,4,15,26,3.185,0.29,-1,-1,182,71,0.169833751
mantlmi01,1955,1,NYA,AL,B,147,517,121,158,25,11,37,99,8,1,113,97,6,3,2,3,4,24,3.889,0.306,1,8,195,71,0.202245011
